sentiment,text,username
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,BellolnrwjBello
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,gideonakpan98
positive,RT @chenunaMarshal: Horrendous acts in Kumba Cameroon where soldiers insert a gun in the mouth of a young man and opened fire multiple time…,celesbiami
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,HashidUmar
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,fina_carrick
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,JeremiahForcad3
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,niche_charlie
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,folabifreeman
neutral,@petemorristwit @michael51846863 The french have never WON any battles..infect they actually celebrate their losses… https://t.co/WnBAJvWPHG,Michael31456807
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,TheVictoriaNYC
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,daniels_bauer
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,julius_ayang
neutral,"Les bijoux de Chantal Biya d’une 200 millions d’Euros saisis en Belgique, voici les détails!… https://t.co/Y48NSNB4OL",MediaCameroon
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Rabs68880010
positive,RT @Fly4cheaperLtd: Predict the outcome of the match between Nigeria vs Cameroon and stand a chance to win loads of airtime. \n\nRules: Follo…,TheIncredulous_
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,bnt_reigns
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,folaID21
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,daniel_ynf
positive,RT @Fly4cheaperLtd: Predict the outcome of the match between Nigeria vs Cameroon and stand a chance to win loads of airtime. \n\nRules: Follo…,Sugarlovsy
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,YunusaBabaisah
